[neutral/A1] 1200 datums, 44368 loss tokens / 50368 total
  [neutral/A2] ep1 step 21: mean_nll=1.2025 (64 datums, 65s)
  [neutral/A2] ep1 step 22: mean_nll=1.1812 (64 datums, 67s)
  [neutral/A2] ep1 step 23: mean_nll=1.2075 (64 datums, 70s)
  [neutral/A2] ep1 step 24: mean_nll=1.1984 (64 datums, 72s)
  [neutral/A2] ep1 step 25: mean_nll=1.1343 (64 datums, 74s)
  [neutral/A2] ep1 step 26: mean_nll=1.1594 (64 datums, 77s)
  [neutral/A2] ep1 step 27: mean_nll=1.0837 (64 datums, 79s)
  [neutral/A2] ep1 step 28: mean_nll=1.0696 (64 datums, 81s)
  [neutral/A2] ep1 step 29: mean_nll=1.1321 (64 datums, 83s)
  [neutral/A2] ep1 step 30: mean_nll=1.0756 (64 datums, 86s)
  [neutral/A2] ep1 step 31: mean_nll=1.1031 (64 datums, 88s)
  [neutral/A2] ep1 step 32: mean_nll=1.0911 (64 datums, 91s)
  [neutral/A2] ep1 step 33: mean_nll=1.0737 (64 datums, 94s)
  [neutral/A2] ep1 step 34: mean_nll=1.0763 (64 datums, 97s)
  [neutral/A2] ep1 step 35: mean_nll=1.0507 (64 datums, 100s)
  [neutral/A2] ep1 step 36: mean_nll=1.0021 (64 datums, 105s)
  [neutral/A2] ep1 step 37: mean_nll=1.1129 (64 datums, 108s)
  [neutral/A2] ep1 step 38: mean_nll=1.0938 (48 datums, 112s)
  [neutral/A2] ep2 step 39: mean_nll=0.9665 (64 datums, 116s)
  [neutral/A2] ep2 step 40: mean_nll=0.9584 (64 datums, 120s)
  [neutral/A2] ep2 step 41: mean_nll=0.9251 (64 datums, 122s)
  [neutral/A2] ep2 step 42: mean_nll=0.8975 (64 datums, 124s)
  [neutral/A2] ep2 step 43: mean_nll=0.9471 (64 datums, 126s)
  [neutral/A2] ep2 step 44: mean_nll=0.9010 (64 datums, 129s)
  [neutral/A2] ep2 step 45: mean_nll=0.8976 (64 datums, 131s)
  [neutral/A2] ep2 step 46: mean_nll=0.8416 (64 datums, 133s)
  [neutral/A2] ep2 step 47: mean_nll=0.8989 (64 datums, 135s)
  [neutral/A2] ep2 step 48: mean_nll=0.8998 (64 datums, 138s)
  [neutral/A2] ep2 step 49: mean_nll=0.8751 (64 datums, 140s)
  [neutral/A2] ep2 step 50: mean_nll=0.8622 (64 datums, 142s)
  [neutral/A2] ep2 step 51: mean_nll=0.8546 (64 datums, 144s)
  [neutral/A2] ep2 step 52: mean_nll=0.8559 (64 datums, 147s)
  [neutral/A2] ep2 step 53: mean_nll=0.8932 (64 datums, 149s)
  [neutral/A2] ep2 step 54: mean_nll=0.8842 (64 datums, 151s)
  [neutral/A2] ep2 step 55: mean_nll=0.8405 (64 datums, 153s)
  [neutral/A2] ep2 step 56: mean_nll=0.8133 (64 datums, 156s)
  [neutral/A2] ep2 step 57: mean_nll=0.8159 (48 datums, 158s)
[saved] neutral/A2: tinker://fc11901a-0d74-5a4c-b491-01a2fd8ded6a:train:1/sampler_weights/neutral_A2_final (163s)
[neutral/A3] 300 datums, 44368 loss tokens / 158032 total
  [schema] metrics keys: ['clock_cycle:unique', 'loss:sum']
  [neutral/A3] ep0 step 1: mean_nll=2.1630 (16 datums, 8s)
  [neutral/A3] ep0 step 2: mean_nll=2.0707 (16 datums, 10s)
  [neutral/A3] ep0 step 3: mean_nll=1.9195 (16 datums, 12s)
  [neutral/A3] ep0 step 4: mean_nll=1.7404 (16 datums, 14s)
  [neutral/A3] ep0 step 5: mean_nll=1.6907 (16 datums, 17s)
  [neutral/A3] ep0 step 6: mean_nll=1.6319 (16 datums, 19s)
  [neutral/A3] ep0 step 7: mean_nll=1.5340 (16 datums, 21s)
  [neutral/A3] ep0 step 8: mean_nll=1.5008 (16 datums, 23s)
  [neutral/A3] ep0 step 9: mean_nll=1.4796 (16 datums, 25s)
  [neutral/A3] ep0 step 10: mean_nll=1.4267 (16 datums, 28s)
  [neutral/A3] ep0 step 11: mean_nll=1.4292 (16 datums, 30s)
  [neutral/A3] ep0 step 12: mean_nll=1.3956 (16 datums, 32s)
  [neutral/A3] ep0 step 13: mean_nll=1.3177 (16 datums, 34s)
  [neutral/A3] ep0 step 14: mean_nll=1.3727 (16 datums, 36s)
  [neutral/A3] ep0 step 15: mean_nll=1.3008 (16 datums, 39s)
  [neutral/A3] ep0 step 16: mean_nll=1.3211 (16 datums, 41s)
  [neutral/A3] ep0 step 17: mean_nll=1.3224 (16 datums, 43s)
  [neutral/A3] ep0 step 18: mean_nll=1.2356 (16 datums, 45s)
  [neutral/A3] ep0 step 19: mean_nll=1.2081 (12 datums, 48s)
  [neutral/A3] ep1 step 20: mean_nll=1.0868 (16 datums, 50s)
  [neutral/A3] ep1 step 21: mean_nll=1.1444 (16 datums, 52s)
  [neutral/A3] ep1 step 22: mean_nll=1.0975 (16 datums, 54s)
  [neutral/A3] ep1 step 23: mean_nll=1.0865 (16 datums, 57s)
  [neutral/A3] ep1 step 24: mean_nll=1.1021 (16 datums, 59s)
  [neutral/A3] ep1 step 25: mean_nll=1.0423 (16 datums, 61s)
  [neutral/A3] ep1 step 26: mean_nll=1.0954 (16 datums, 66s)
  [neutral/A3] ep1 step 27: mean_nll=0.9972 (16 datums, 69s)
  [neutral/A3] ep1 step 28: mean_nll=1.0356 (16 datums, 71s)
  [neutral/A3] ep1 step 29: mean_nll=0.9704 (16 datums, 73s)
  [neutral/A3] ep1 step 30: mean_nll=0.9951 (16 datums, 76s)
  [neutral/A3] ep1 step 31: mean_nll=1.0153 (16 datums, 78s)
  [neutral/A3] ep1 step 32: mean_nll=0.9875 (16 datums, 80s)
  [neutral/A3] ep1 step 33: mean_nll=0.9531 (16 datums, 82s)
  [neutral/A3] ep1 step 34: mean_nll=0.9025 (16 datums, 85s)
  [neutral/A3] ep1 step 35: mean_nll=0.9725 (16 datums, 87s)
  [neutral/A3] ep1 step 36: mean_nll=0.9348 (16 datums, 89s)
  [neutral/A3] ep1 step 37: mean_nll=0.9476 (16 datums, 91s)
  [neutral/A3] ep1 step 38: mean_nll=0.9239 (12 datums, 93s)
  [neutral/A3] ep2 step 39: mean_nll=0.7797 (16 datums, 96s)
  [neutral/A3] ep2 step 40: mean_nll=0.7927 (16 datums, 98s)
  [neutral/A3] ep2 step 41: mean_nll=0.7264 (16 datums, 100s)
  [neutral/A3] ep2 step 42: mean_nll=0.6608 (16 datums, 102s)
  [neutral/A3] ep2 step 43: mean_nll=0.7238 (16 datums, 105s)
  [neutral/A3] ep2 step 44: mean_nll=0.7403 (16 datums, 107s)
  [neutral/A3] ep2 step 45: mean_nll=0.7552 (16 datums, 109s)
  [neutral/A3] ep2 step 46: mean_nll=0.7887 (16 datums, 111s)
  [neutral/A3] ep2 step 47: mean_nll=0.7184 (16 datums, 113s)
  [neutral/A3] ep2 step 48: mean_nll=0.7945 (16 datums, 116s)
  [neutral/A3] ep2 step 49: mean_nll=0.6949 (16 datums, 118s)
  [neutral/A3] ep2 step 50: mean_nll=0.7364 (16 datums, 120s)
  [neutral/A3] ep2 step 51: mean_nll=0.6905 (16 datums, 122s)
